,name,link,ac,health,strength,dexterity,constitution,intelligence,wisdom,charisma
39,Алйанор Кинблэйд,/bestiary/5821-aljanor_keenblade/,10,52,3,0,2,0,0,2
40,Амарит Коппервейн,/bestiary/5823-amarith_coppervein/,17,58,3,1,2,0,0,0
41,Амрик Вантампур,/bestiary/6404-amrik_vanthampur/,17,66,1,4,1,2,2,2
42,Анкилозавр,/bestiary/89-ankylosaurus/,15,68,4,0,2,-4,1,-3
43,Анкилозавр зомби,/bestiary/6015-ankylosaurus_zombie/,14,68,4,-1,2,-4,-2,-4
44,Арло Киттлтоу (5-8 уровня),/bestiary/12715-arlo_kettletoe_levels_5_8_/,18,52,3,0,2,0,0,2
45,Арук Громовержец Туунлакалага,/bestiary/5800-aruk_thundercaller_thuunlakalaga/,12,67,4,0,3,0,2,0
46,Астральный эльф воитель,/bestiary/8706-astral_elf_warrior/,16,58,1,2,0,3,3,2
47,Агония,/bestiary/9263-agony/,11,45,-2,1,0,0,1,3
48,Азака Буреклык,/bestiary/6025-azaka_stormfang/,12,120,3,2,3,0,1,0
49,Азбара Джос,/bestiary/3328-azbara_jos/,13,39,-1,3,2,3,1,0
50,Архонт-гончая,/bestiary/13038-hound_archon/,15,65,4,1,2,0,2,2
51,Адская оса,/bestiary/6401-hellwasp/,19,52,4,2,1,0,0,-2
52,Айзек Стражни,/bestiary/946-izek_strazni/,14,112,4,2,3,0,-1,2
53,Айо Джабе (2-го уровня),/bestiary/7791-ayo_jabe_tier_2_/,15,97,2,3,2,0,2,1
54,Аллип,/multiverse/bestiary/6460-allip/,13,40,-2,3,0,3,2,3
55,Амбициозный наёмный убийца,/bestiary/13234-ambitious_assassin/,16,91,0,4,2,4,2,3
56,Амелия Кассалантер,/bestiary/5101-ammalia_cassalanter/,12,45,-1,2,0,3,1,2
57,Анастасия Карелова,/bestiary/4678-anastrasya_karelova/,15,82,3,3,3,0,0,1
58,Андавир,/bestiary/9269-andavier/,13,90,0,0,0,3,5,3
59,Астральный эльф звёздный жрец,/bestiary/8705-astral_elf_star_priest/,13,90,0,0,0,3,5,3
60,Астральный эльф почетный караульный,/bestiary/8704-astral_elf_honor_guard/,17,93,2,2,1,3,3,3
61,Афемия,/bestiary/7192-aphemia/,15,52,1,3,2,1,2,3
62,Ааракокра рулевой,/bestiary/9270-aarakocra_spelljammer/,12,40,-1,2,0,3,1,0
63,Арло Киттлтоу (9-11 уровня),/bestiary/12716-arlo_kettletoe_levels_9_11_/,12,40,-1,2,0,3,1,0
64,Ашанн,/bestiary/7889-ashann/,12,91,1,2,2,3,2,4
65,Аериси Калинос,/bestiary/3658-aerisi_kalinoth/,13,66,-1,3,1,3,0,3
66,Алчность,/bestiary/5731-avarice/,13,84,-1,3,2,3,0,-1
67,Альфа грик,/bestiary/189-grick_alpha/,18,75,4,3,2,-3,2,-1
68,Арманит,/multiverse/bestiary/6465-armanite/,16,94,5,4,5,-1,1,1
69,Артус Симбер,/bestiary/6006-artus_cimber/,14,82,0,2,1,3,3,4
70,Астральный эльф командир,/bestiary/8703-astral_elf_commander/,17,143,1,2,1,4,4,4
71,Аберрантный зилот,/bestiary/12494-aberrant_zealot/,16,93,2,4,1,1,-1,4
72,Айо Джабе (3-го уровня),/bestiary/7792-ayo_jabe_tier_3_/,17,150,3,5,3,0,3,2
73,Айсар Кроненстром,/bestiary/5765-isarr_kronenstrom/,15,117,3,3,2,2,2,3
74,Ал’хайя,/bestiary/5631-al_chaia/,18,140,3,2,2,2,2,2
75,Арадрина Сова,/bestiary/7888-aradrine_the_owl/,13,127,1,3,3,2,3,5
76,Арригал,/bestiary/4680-arrigal/,15,78,0,3,2,1,0,0
77,Архонт-страж,/bestiary/13041-warden_archon/,18,136,5,0,3,2,4,4
78,Астральный эльф аристократ,/bestiary/8702-astral_elf_aristocrat/,16,103,0,2,0,5,4,4
79,Амерго,/bestiary/5100-ahmaergo/,18,143,5,2,2,2,2,1
80,Анхолокс,/bestiary/10566-anhkolox/,15,157,6,0,4,-3,2,-4
81,Аббат,/bestiary/4671-the_abbot/,17,136,4,4,4,3,5,5
82,Аболет,/bestiary/31-aboleth/,17,135,5,-1,2,4,2,4
83,Алая погибель,/bestiary/10605-red_ruin/,20,150,4,1,3,1,2,2
84,Аликсиан Охотник,/bestiary/7820-alyxian_the_hunter/,17,178,6,-1,5,-4,0,-5
85,Алхун,/multiverse/bestiary/6458-alhoon/,15,150,0,1,3,4,3,3
86,Аэрозавр,/bestiary/12092-aerosaur/,14,155,8,0,5,-4,0,-3
87,Аликсиан Истерзанный,/bestiary/7821-alyxian_the_tormented/,16,150,5,4,6,2,3,5
88,Алкилит,/multiverse/bestiary/6459-alkilith/,17,168,1,4,6,-2,0,-2
89,Аррант Квилл,/bestiary/5012-arrant_quill/,14,135,0,4,3,3,2,5
90,Аболет Аликсиан,/bestiary/7813-alyxian_aboleth/,17,135,5,-1,2,4,4,4
91,Аликсиан Бессердечный,/bestiary/7816-alyxian_the_callous/,17,157,6,4,5,2,3,5
92,Арканалот,/bestiary/320-arcanaloth/,17,104,3,1,2,5,3,3
93,Архидруид,/multiverse/bestiary/6463-archdruid/,14,154,2,2,1,1,5,0
94,Архимаг,/bestiary/419-archmage/,12,99,0,2,1,5,2,3
95,Архонт падающих звёзд,/bestiary/7170-archon_of_falling_stars/,18,144,5,2,4,2,5,4
96,Афсун Горбани,/bestiary/8533-afsoun_ghorbani/,12,99,0,2,1,5,2,3
97,Аликсиан Обездоленный,/bestiary/7818-alyxian_the_dispossessed/,15,153,4,2,4,1,2,5
98,Алтизавр,/bestiary/12093-altisaur/,15,198,9,-2,6,-4,1,-2
99,Атропал,/bestiary/2633-atropal/,7,225,4,-3,6,7,4,7
100,Аликсиан Прощённый,/bestiary/7814-alyxian_the_absolved/,15,161,4,2,4,1,2,4
101,Ангел пакта смерти,/bestiary/6919-deathpact_angel/,18,175,3,4,2,4,5,6
102,Архонт Триумвирата,/bestiary/8289-archon_of_the_triumvirate/,18,144,5,2,4,2,5,4
103,Адское орудие,/multiverse/bestiary/6794-hellfire_engine/,18,216,5,3,7,-4,0,-5
104,Архан Жестокий,/bestiary/4257-arkhan_the_cruel/,23,221,5,1,4,0,0,4
105,Акаанваэрд,/bestiary/11835-akaanvaerd/,19,256,8,0,7,3,1,5
106,Андросфинкс,/bestiary/295-androsphinx/,17,199,6,0,5,3,4,6
107,Ауринакс,/bestiary/5102-aurinax/,19,256,8,2,7,3,2,7
108,Аштиррантора,/bestiary/6137-ashtyrranthor/,19,256,8,0,7,3,1,5
109,Амнизу,/multiverse/bestiary/6461-amnizu/,21,202,0,1,3,5,1,4
110,Астерия,/bestiary/13301-asteria/,18,195,1,5,3,2,0,5
111,Араста,/bestiary/7213-arasta/,19,300,7,3,6,2,6,3
112,Арктурия,/bestiary/6125-arcturia/,17,135,0,3,3,5,2,3
113,Астральный Дредноут,/multiverse/bestiary/6466-astral_dreadnought/,20,297,9,-2,7,-3,2,4
114,Аурнозчи,/bestiary/13260-aurnozci/,16,370,8,5,8,-2,5,4
115,Ацерерак,/bestiary/1232-acererak/,21,285,1,3,5,8,5,5
116,Аспект Багамута,/bestiary/5524-aspect_of_bahamut/,23,585,10,4,9,7,9,10
117,Аспект Тиамат,/bestiary/5519-aspect_of_tiamat/,23,574,10,2,10,5,5,8
118,Бабуин,/bestiary/326-baboon/,12,3,-1,2,0,-3,1,-2
119,Бабуин химера,/bestiary/5801-chimeric_baboon/,12,3,-1,2,0,-3,1,-2
120,Барсук,/bestiary/327-badger/,10,3,-3,0,1,-4,1,-3
121,Безумная Мэри,/bestiary/4767-mad_mary/,10,4,0,0,0,0,0,0
122,Белдора,/bestiary/7769-beldora/,12,18,0,2,0,3,1,3
123,Бепис Медовар,/bestiary/5106-bepis_honeymaker/,10,3,0,0,0,0,0,0
124,Блуто Крогаров,/bestiary/4687-bluto_krogarov/,10,4,0,0,0,0,0,0
125,Бумажная птица,/bestiary/8391-paper_bird/,13,1,-3,3,-1,-4,2,-2
126,Барон Варгас Валлакович,/bestiary/4681-baron_vargas_vallakovich/,15,9,0,1,0,1,2,3
127,Белый Нефритовый император,/bestiary/8545-white_jade_emperor/,15,9,0,1,0,1,2,3
128,Боггл,/multiverse/bestiary/6482-boggle/,14,18,-1,4,1,-2,1,-2
129,Больная гигантская крыса,/bestiary/5642-diseased_giant_rat/,12,7,-2,2,0,-4,0,-3
130,Бригганок,/bestiary/8364-brigganock/,12,9,-3,2,2,0,0,1
131,Бродяга,/bestiary/7689-gadabout/,11,11,1,0,2,-5,-2,-5
132,Бурт,/bestiary/7437-boerth/,12,11,0,1,1,0,0,0
133,Баппидо,/bestiary/5875-buppido/,13,13,-1,2,1,0,-3,-1
134,Баровийская ведьма,/bestiary/4660-barovian_witch/,10,16,-2,0,1,2,0,1
135,Боевой конь,/bestiary/329-warhorse/,11,19,4,1,1,-4,1,-2
136,Боско Даггерхэнд,/bestiary/6042-bosco_daggerhand/,11,32,2,0,2,0,0,0
137,Багбир,/bestiary/13-bugbear/,16,27,2,2,1,-1,0,-1
138,Беното Кралазар,/bestiary/9254-benoto_kralazar/,13,31,0,0,0,3,0,-2
139,Бес,/bestiary/84-imp/,13,10,-2,3,1,0,1,2
140,Бескостный,/bestiary/6853-boneless/,12,26,3,2,2,-5,0,-5
141,Болотник,/bestiary/5264-moorbounder/,13,30,4,2,2,-4,1,-3
142,Босс гоблинов,/bestiary/182-goblin_boss/,17,21,0,2,0,0,-1,0
143,Бритвеннолозая зараза,/bestiary/13120-razorvine_blight/,12,27,0,2,1,-3,0,-4
144,Бронзовый соболь,/bestiary/7166-bronze_sable/,15,32,1,3,2,-4,2,-5
145,Бурый медведь,/bestiary/330-brown_bear/,11,34,4,0,3,-4,1,-2
146,Баран Сахарок,/bestiary/5063-ram_sugar/,13,33,0,2,1,0,1,2
147,Бард,/multiverse/bestiary/6476-bard/,15,44,0,2,1,0,1,2
148,Барнибус Бластвинд,/bestiary/5105-barnibus_blastwind/,10,24,-1,0,-1,3,2,0
149,Белый медведь,/bestiary/328-polar_bear/,12,42,5,0,3,-4,1,-2
150,Белый сторожевой дрейк,/multiverse/bestiary/6788-white_guard_drake/,14,52,3,0,3,-3,0,-2
151,Бербаланг,/multiverse/bestiary/6478-berbalang/,14,49,-1,3,-1,3,0,0
152,Берсерк,/bestiary/420-berserker/,13,67,3,1,3,-1,0,-1
153,Бессмертный солдат,/bestiary/4996-undying_soldier/,17,26,3,1,2,0,1,2
154,Блайндхейм,/bestiary/13626-blindheim/,14,26,1,3,2,-1,0,-1
155,Бларг,/bestiary/5869-blurg/,18,42,4,1,4,4,0,1
156,Близнецы Селенелион,/bestiary/8376-selenelion_twin/,14,33,-2,4,1,1,0,3
157,Блуждающий огонёк,/bestiary/311-will_o_wisp/,19,22,-5,9,0,1,2,0
158,Большой мимик,/bestiary/6235-large_mimic/,12,67,3,1,2,-3,1,-1
159,Бормочущий ротовик,/bestiary/173-gibbering_mouther/,9,67,0,-1,3,-4,0,-2
160,Брахма Лутьер,/bestiary/7473-brahma_lutier/,12,33,1,2,1,0,1,3
161,Бариаур-странник,/bestiary/13075-bariaur_wanderer/,14,71,4,2,2,0,2,0
162,Билли Бобёр,/bestiary/8041-billy_beaver/,13,34,5,1,3,-4,1,-2
163,Бол'бара,/bestiary/7452-bol_bara/,15,40,0,2,1,0,1,2
164,Большой мимик,/bestiary/8050-large_mimic/,12,75,3,1,2,-3,1,-1
165,Бородатый дьявол (Барбазу),/bestiary/78-bearded_devil/,13,52,3,2,2,-1,0,0
166,Бронированный саблезубый тигр,/bestiary/4672-armored_saber_toothed_tiger/,17,84,4,2,2,-4,1,-1
167,Брусифа,/bestiary/13254-brusipha/,14,90,4,0,3,1,3,3
168,Булезау,/multiverse/bestiary/6484-bulezau/,14,52,2,2,3,-1,-1,-2
169,Буцефал,/bestiary/4686-beucephalus/,13,104,4,2,3,0,1,2
170,Бабау,/multiverse/bestiary/6467-babau/,16,82,4,3,3,0,1,1
171,Баньши,/bestiary/40-banshee/,12,58,-5,2,0,1,0,3
172,Баньши Глухолесья,/bestiary/5795-lonelywood_banshee/,12,58,-5,2,0,1,0,3
173,Баргест,/multiverse/bestiary/6477-barghest/,17,60,4,2,2,1,1,2
174,Боевой вождь орков,/bestiary/258-orc_war_chief/,16,93,4,1,4,0,0,3
175,Бонни,/bestiary/5109-bonnie/,14,52,0,4,2,0,1,2
176,Бандерхобб,/multiverse/bestiary/6470-banderhobb/,15,84,5,1,5,0,2,-1
177,Барлгура,/bestiary/64-barlgura/,15,68,4,2,3,-2,2,-1
178,Барон сахуагинов,/bestiary/278-sahuagin_baron/,16,76,4,2,3,2,1,3
179,Безоружный холмовой великан,/bestiary/7711-unarmed_hill_giant/,13,105,5,-1,4,-3,-1,-2
180,Безумная Мэгги,/bestiary/6424-mad_maggie/,17,112,4,2,3,3,2,3
181,Бехолдер зомби,/bestiary/325-beholder_zombie/,15,93,0,-1,3,-4,-1,-3
182,Благословлённый драконом,/bestiary/6313-dragon_blessed/,14,75,1,0,3,2,3,0
183,Боевой ангел,/bestiary/1897-battleforce_angel/,18,66,3,1,1,0,3,4
184,Бронтозавр,/multiverse/bestiary/6602-brontosaurus/,15,121,5,-1,3,-4,0,-2
185,Бронтозавр зомби,/bestiary/5982-brontosaurus_zombie/,14,121,5,-2,3,-5,-2,-2
186,Бурый увалень,/bestiary/305-umber_hulk/,18,93,5,1,3,-1,0,0
187,Бьёрнхильда Солвигсдоттир,/bestiary/5768-bjornhild_solvigsdottir/,12,102,4,0,4,2,0,2
188,Б'рог,/bestiary/8717-b_rogh/,14,92,5,2,5,-3,0,-2
189,Баер,/bestiary/7427-buyer/,12,40,-1,2,0,3,1,0
190,Барбатос,/bestiary/7679-barbatos/,15,78,0,3,2,1,2,0
191,Белый абишай,/multiverse/bestiary/6457-white_abishai/,15,68,3,0,4,0,1,1
192,Бодак,/multiverse/bestiary/6481-bodak/,15,58,2,3,2,-2,1,1
193,Брахиозавр,/bestiary/5963-brachiosaurus/,16,145,7,-1,4,-4,0,-2
194,Брахиозавр зомби,/bestiary/5981-brachiosaurus_zombie/,14,145,7,-1,4,-4,0,-2
195,Бавлорна Гнилая солома,/bestiary/8412-bavlorna_blightstraw/,15,110,6,0,4,3,1,2
196,Бастиан Термандар,/bestiary/4921-bastian_thermandar/,12,78,1,2,2,0,-1,4
197,Безжалостный рубака,/bestiary/6884-relentless_slasher/,15,84,1,4,2,2,2,3
198,Большой зорн,/bestiary/6224-big_xorn/,19,103,5,0,6,0,0,0
199,Благоткас,/bestiary/3330-blagothkus/,17,138,8,1,5,3,2,2
200,Блюститель закона Братства порядка,/bestiary/13200-fraternity_of_order_law_bender/,12,137,-1,2,1,4,3,2
201,Боевой священник,/multiverse/bestiary/7063-war_priest/,18,117,3,0,2,0,3,1
202,Босс Август,/bestiary/13241-boss_augustus/,13,150,4,3,3,2,2,1
203,Босс Делюр,/bestiary/13242-boss_delour/,14,110,1,4,2,3,2,3
204,Браксат,/bestiary/8716-braxat/,18,162,8,-1,6,2,1,-2
205,Бримскарда,/bestiary/7755-brimskarda/,16,162,7,-1,6,2,2,1
206,Безглавый железный голем,/bestiary/5809-headless_iron_golem/,20,150,7,-1,5,-4,0,-5
207,Бессмертный советник,/bestiary/4995-undying_councilor/,17,104,3,0,2,3,5,3
208,Баба Лысага,/bestiary/947-baba_lysaga/,15,120,4,0,3,5,3,1
209,Балханнот,/multiverse/bestiary/6469-balhannoth/,17,114,3,-1,4,-2,2,-1
210,Бехир,/bestiary/42-behir/,17,168,6,3,4,-2,2,1
211,Бакунава,/bestiary/8407-bakunawa/,15,150,5,1,2,2,3,3
212,Безжалостный джаггернаут,/bestiary/6886-relentless_juggernaut/,17,161,6,1,6,-1,2,3
213,Безумный голем,/bestiary/6157-mad_golem/,17,264,6,-1,5,-1,0,-1
214,Безумный маг с горы Бараток,/bestiary/4799-the_mad_mage_of_mount_baratok/,12,99,0,2,1,5,2,3
215,Берлейн Сумеречная тень,/bestiary/6142-berlain_shadowdusk/,12,99,0,2,1,5,2,3
216,Бак Мэй,/bestiary/5013-bak_mei/,17,102,0,4,4,1,3,3
217,Бармаглот,/bestiary/8372-jabberwock/,18,115,5,1,5,-3,-2,0
218,Бехолдер,/bestiary/43-beholder/,18,180,0,2,4,3,2,3
219,Бронзифьюм,/bestiary/4940-bronzefume/,20,220,7,0,5,0,1,1
220,Буровой червь,/bestiary/6182-bore_worm/,18,247,9,-2,6,-5,-1,-3
221,Баэрналот,/bestiary/13071-baernaloth/,17,256,4,2,4,6,3,5
222,Балор,/bestiary/63-balor/,19,262,8,2,6,5,3,6
223,Баэль,/multiverse/bestiary/6468-bael/,18,189,7,3,5,5,7,7
224,Белаширра,/bestiary/4818-belashyrra/,19,304,7,5,5,7,6,6
225,Бафомет,/multiverse/bestiary/6475-baphomet/,22,319,10,2,8,4,7,3
226,Бафомет,/bestiary/5861-baphomet/,22,333,10,2,8,4,7,3
227,Беледрос Визерблум,/bestiary/8056-beledros_witherbloom/,22,444,9,2,8,4,9,3
228,Бел,/bestiary/6435-bel/,19,364,9,2,8,7,4,8
229,Визгун,/bestiary/156-shrieker/,5,13,-5,-5,0,-5,-4,-5
230,Вири Флигол,/bestiary/7750-wiri_fleagol/,10,4,0,0,0,0,0,0
231,Ворон,/bestiary/333-raven/,12,1,-4,2,-1,-4,1,-2
232,Ворона,/bestiary/6231-crow/,12,1,-4,2,-1,-4,1,-2
233,Валенарский ястреб,/bestiary/4971-valenar_hawk/,14,10,-1,4,0,-1,3,0
234,Варнир,/bestiary/5073-varnyr/,15,9,0,1,0,1,2,3
235,Верблюд,/bestiary/331-camel/,9,15,3,-1,2,-4,-1,-3
236,Ветвистая зараза,/bestiary/1-twig_blight/,13,4,-2,1,1,-3,-1,-4
237,Вистани страж,/bestiary/4808-vistana_guard/,16,11,1,1,1,0,0,0
238,Воитель племени,/bestiary/422-tribal_warrior/,12,11,1,0,1,-1,0,-1
239,Воитель племени споровый слуга,/bestiary/5794-tribal_warrior_spore_servant/,12,11,1,0,1,-4,-2,-5
240,Вегепигмей,/multiverse/bestiary/7060-vegepygmy/,13,13,-2,2,1,-2,0,-2
241,Велоцираптор,/multiverse/bestiary/6607-velociraptor/,13,10,-2,2,1,-3,1,-2
242,Велоцираптор зомби,/bestiary/5983-velociraptor_zombie/,11,18,-2,0,2,-4,-2,-3
243,Возвращённый – скиталец,/bestiary/7202-returned_drifter/,13,11,2,2,1,0,1,0
244,Вол,/multiverse/bestiary/6490-ox/,10,15,4,0,2,-4,0,-3
245,Волк,/bestiary/2-wolf/,13,11,1,2,1,-4,1,-2
246,Волк Верхнего мира,/bestiary/11851-wolf_of_the_overworld/,13,11,1,2,1,-4,1,-2
247,Волотамп «Воло» Геддарм,/bestiary/6007-volothamp_volo_geddarm/,11,31,-1,1,0,2,0,3
248,Волшебник «Паноптикуса»,/bestiary/5178-panopticus_wizard/,10,9,0,0,0,2,0,0
249,Вайя трёхсоцветная,/bestiary/1399-tri_flower_frond/,10,11,-5,0,1,-5,0,-5
250,Валенарская гончая,/bestiary/4970-valenar_hound/,14,19,3,2,2,0,2,0
251,Валенарский скакун,/bestiary/1649-valenar_steed/,13,22,2,3,2,0,2,0
252,Вейлас,/bestiary/7534-valas/,13,16,0,2,1,0,1,0
253,Взрослый миконид,/bestiary/246-myconid_adult/,12,22,0,0,1,0,1,-2
254,Взрослый миконид Заггтмой,/bestiary/5836-myconid_adult_of_zuggtmoy/,12,22,0,0,1,0,1,-2
255,Винлинг,/bestiary/8398-wynling/,15,21,-4,5,1,0,2,3
256,Ворг,/bestiary/332-worg/,13,26,3,1,1,-2,0,-1
257,Вордана Жезрал,/bestiary/7715-vordana_jezral/,13,16,0,2,1,0,1,0
258,Выплодок,/bestiary/6852-podling/,10,26,2,0,2,0,0,0
259,Вьющаяся зараза,/bestiary/46-vine_blight/,12,26,2,-1,2,-3,0,-4
260,Варгулья,/multiverse/bestiary/7059-vargouille/,12,18,-2,2,2,-3,-2,-4
261,Вегепигмей колючка,/multiverse/bestiary/7062-thorny_vegepygmy/,14,27,1,1,1,-4,0,-2
262,Взрывающийся иссохшийся зомби,/bestiary/7404-husk_zombie_bursters/,10,37,3,0,3,-4,-2,-3
263,Вирмлинг глубинного дракона,/bestiary/6265-deep_dragon_wyrmling/,15,27,2,0,1,0,1,1
264,Вирмлинг латунного дракона,/bestiary/118-brass_dragon_wyrmling/,16,16,2,0,1,0,0,1
265,Вирмлинг медного дракона,/bestiary/126-copper_dragon_wyrmling/,16,22,2,1,1,2,0,1
266,Водяной упырь,/bestiary/4939-aquatic_ghoul/,12,22,1,2,0,-2,0,-2
267,Возвращённый – страж,/bestiary/7205-returned_sentry/,15,22,3,2,1,0,1,0
268,Волшебный дракончик,/bestiary/152-faerie_dragon/,15,14,-4,5,1,2,1,3
269,Волшебный дракончик (Жёлтый),/bestiary/5637-faerie_dragon_yellow_/,15,14,-4,5,1,2,1,3
270,Волшебный дракончик (Красный),/bestiary/5635-faerie_dragon_red_/,15,14,-4,5,1,2,1,3
271,Волшебный дракончик (Оранжевый),/bestiary/5636-faerie_dragon_orange_/,15,14,-4,5,1,2,1,3
272,Валетта,/bestiary/5372-valetta/,13,27,0,0,1,1,3,1
273,Вампират,/bestiary/8884-vampirate/,14,42,1,2,4,0,0,1
274,Вдохновлённый,/bestiary/4977-inspired/,12,40,0,2,0,3,0,3
275,Вегепигмей вождь,/multiverse/bestiary/7061-vegepygmy_chief/,14,33,2,2,2,-2,1,-1
276,Великий вождь Халрик Костолом,/bestiary/7721-great_chief_halric_bonesnapper/,13,99,3,1,3,-1,0,-1
277,Верворон,/bestiary/949-wereraven/,12,31,0,2,0,1,2,2
278,Верворон,/bestiary/6905-wereraven/,12,31,0,2,0,1,2,2
279,Веркрыса,/bestiary/222-wererat/,12,33,0,2,1,0,0,-1
280,Верховный миконид,/bestiary/247-myconid_sovereign/,13,60,1,0,2,1,2,0
281,Верховный миконид Заггтмой,/bestiary/5837-myconid_sovereign_of_zuggtmoy/,13,60,1,0,2,1,2,0
282,Взрослый крутик,/multiverse/bestiary/6824-adult_kruthik/,18,39,2,3,2,-2,1,-1
283,Вигган Неттлби,/bestiary/4930-wiggan_nettlebee/,11,36,-1,1,1,2,2,1
284,Вирмлинг белого дракона,/bestiary/114-white_dragon_wyrmling/,16,32,2,0,2,-3,0,0
285,Вирмлинг бронзового дракона,/bestiary/122-bronze_dragon_wyrmling/,17,32,3,0,2,1,0,2
286,Вирмлинг зеленого дракона,/bestiary/104-green_dragon_wyrmling/,17,38,2,1,1,2,0,1
287,Вирмлинг изумрудного дракона,/bestiary/6271-emerald_dragon_wyrmling/,16,39,2,1,2,2,1,2
288,Вирмлинг кристаллического дракона,/bestiary/6254-crystal_dragon_wyrmling/,14,32,2,1,2,2,1,2
289,Вирмлинг лунного дракона,/bestiary/8773-lunar_dragon_wyrmling/,15,37,2,1,3,-2,0,-1
290,Вирмлинг луннокаменного дракона,/bestiary/6276-moonstone_dragon_wyrmling/,17,39,3,2,2,3,2,3
291,Вирмлинг серебряного дракона,/bestiary/134-silver_dragon_wyrmling/,17,45,4,0,3,1,0,2
292,Вирмлинг топазного дракона,/bestiary/6286-topaz_dragon_wyrmling/,16,33,2,1,1,2,1,2
293,Вирмлинг чёрного дракона,/bestiary/98-black_dragon_wyrmling/,17,33,2,2,1,0,0,1
294,Вожак стаи гноллов,/bestiary/179-gnoll_pack_lord/,15,49,3,2,1,-1,0,-1
295,Волшебный дракончик (Голубой),/bestiary/5639-faerie_dragon_blue_/,15,14,-4,5,1,2,1,3
296,Волшебный дракончик (Зелёный),/bestiary/5638-faerie_dragon_green_/,15,14,-4,5,1,2,1,3
297,Волшебный дракончик (Синий),/bestiary/5640-faerie_dragon_indigo_/,15,14,-4,5,1,2,1,3
298,Волшебный дракончик (Фиолетовый),/bestiary/5641-faerie_dragon_violet_/,15,14,-4,5,1,2,1,3
299,Всадник кавалерии грифонов,/bestiary/5122-griffon_cavalry_rider/,17,58,2,2,2,0,1,0
300,Вурдалак,/bestiary/165-ghast/,13,36,3,3,0,0,0,-1
